Year,Year_Level,Item_ID,Strand,LocationInStage,SequenceNumber,Item_Type,Item,Answer,StimulusList,Description,Substrand
2017,9,x00102156,Reading,2,6,TE,x00102156,,"[""suwbg303""]",Descriptor #1,Letters
2017,3,x00101619,Reading,4,8,MC,x00101619,,"[""gwzha675""]",Descriptor #1,Letters
2017,3,x00101619,Reading,4,8,MC,x00101619,,"[""gwzha675""]",Descriptor #1,Letters
2017,3,x00100796,Numeracy,1,6,TE,x00100796,,,Descriptor #1,Numbers
2017,3,x00100796,Numeracy,1,6,TE,x00100796,,,Descriptor #1,Numbers
2017,7,x00100316,Grammar and Punctuation,1,3,TE,x00100316,,,Descriptor #1,Grammar
2017,7,x00100316,Grammar and Punctuation,1,3,TE,x00100316,,,Descriptor #1,Grammar
2017,3,x00100851,Numeracy,1,1,IGGM,x00100851,,,Descriptor #1,Numbers
2017,3,x00100851,Numeracy,1,1,IGGM,x00100851,,,Descriptor #1,Numbers
2017,7,x00102563,Spelling,2,6,MC,x00102563,,,Descriptor #1,Spelling
2017,7,x00102563,Spelling,2,6,MC,x00102563,,,Descriptor #1,Spelling
2017,3,x00101637,Reading,1,12,PO,x00101637,,"[""axnun030""]",Descriptor #1,Letters
2017,3,x00101637,Reading,1,12,PO,x00101637,,"[""axnun030""]",Descriptor #1,Letters
2017,7,x00100440,Grammar and Punctuation,1,23,TE,x00100440,,,Descriptor #1,Grammar
2017,7,x00100440,Grammar and Punctuation,1,23,TE,x00100440,,,Descriptor #1,Grammar
2017,7,x00100424,Grammar and Punctuation,1,7,SL,x00100424,,,Descriptor #1,Grammar
2017,7,x00100424,Grammar and Punctuation,1,7,SL,x00100424,,,Descriptor #1,Grammar
2017,9,x00100532,Grammar and Punctuation,1,11,MC,x00100532,,,Descriptor #1,Grammar
2017,9,x00100532,Grammar and Punctuation,1,11,MC,x00100532,,,Descriptor #1,Grammar
2017,3,x00100810,Numeracy,2,5,MC,x00100810,,,Descriptor #1,Numbers
2017,3,x00100810,Numeracy,2,5,MC,x00100810,,,Descriptor #1,Numbers
2017,5,x00100994,Numeracy,2,10,MC,x00100994,,,Descriptor #1,Numbers
2017,5,x00100994,Numeracy,2,10,MC,x00100994,,,Descriptor #1,Numbers
2017,7,x00100994,Numeracy,2,3,MC,x00100994,,,Descriptor #1,Numbers
2017,7,x00100994,Numeracy,2,3,MC,x00100994,,,Descriptor #1,Numbers
2017,9,x00102188,Reading,4,4,TE,x00102188,,"[""qxfwh793""]",Descriptor #1,Letters
2017,9,x00102188,Reading,4,4,TE,x00102188,,"[""qxfwh793""]",Descriptor #1,Letters
2017,5,x00102439,Spelling,1,4,TE,x00102439,,"[""reqzm643""]",Descriptor #1,Spelling
2017,5,x00102439,Spelling,1,4,TE,x00102439,,"[""reqzm643""]",Descriptor #1,Spelling
2017,7,x00102071,Reading,2,6,TE,x00102071,,"[""bpgcg380""]",Descriptor #1,Letters
2017,7,x00102071,Reading,2,6,TE,x00102071,,"[""bpgcg380""]",Descriptor #1,Letters
2017,9,x00102071,Reading,2,14,TE,x00102071,,"[""bpgcg380""]",Descriptor #1,Letters
2017,9,x00102071,Reading,2,14,TE,x00102071,,"[""bpgcg380""]",Descriptor #1,Letters
2017,9,x00102071,Reading,4,14,TE,x00102071,,"[""bpgcg380""]",Descriptor #1,Letters
2017,9,x00102071,Reading,4,14,TE,x00102071,,"[""bpgcg380""]",Descriptor #1,Letters
2017,5,x00100982,Numeracy,1,15,MC,x00100982,,,Descriptor #1,Numbers
2017,5,x00100982,Numeracy,1,15,MC,x00100982,,,Descriptor #1,Numbers
2017,7,x00100982,Numeracy,1,8,MC,x00100982,,,Descriptor #1,Numbers
2017,7,x00100982,Numeracy,1,8,MC,x00100982,,,Descriptor #1,Numbers
2017,3,x00100853,Numeracy,1,3,HS,x00100853,,,Descriptor #1,Numbers
2017,3,x00100853,Numeracy,1,3,HS,x00100853,,,Descriptor #1,Numbers
2017,7,x00101215,Numeracy,1,6,MC,x00101215,,,Descriptor #1,Numbers
2017,7,x00101215,Numeracy,1,6,MC,x00101215,,,Descriptor #1,Numbers
2017,9,x00102664,Spelling,2,9,TE,x00102664,,,Descriptor #1,Spelling
2017,9,x00102664,Spelling,2,9,TE,x00102664,,,Descriptor #1,Spelling
2017,9,x00101385,Numeracy,2,14,MC,x00101385,,,Descriptor #1,Numbers
2017,9,x00101385,Numeracy,2,14,MC,x00101385,,,Descriptor #1,Numbers
2017,7,x00101154,Numeracy,1,16,IC,x00101154,,,Descriptor #1,Numbers
2017,5,x00102491,Spelling,1,2,MC,x00102491,,,Descriptor #1,Spelling
2017,5,x00102491,Spelling,1,2,MC,x00102491,,,Descriptor #1,Spelling
2017,9,x00100563,Grammar and Punctuation,2,16,MC,x00100563,,,Descriptor #1,Grammar
2017,9,x00100563,Grammar and Punctuation,2,16,MC,x00100563,,,Descriptor #1,Grammar
2017,7,x00102130,Reading,1,14,MC,x00102130,,"[""urvdh936""]",Descriptor #1,Letters
2017,7,x00102130,Reading,1,14,MC,x00102130,,"[""urvdh936""]",Descriptor #1,Letters
2017,3,x00100111,Grammar and Punctuation,1,6,MC,x00100111,,,Descriptor #1,Grammar
2017,3,x00100111,Grammar and Punctuation,1,6,MC,x00100111,,,Descriptor #1,Grammar
2017,3,x00100733,Numeracy,2,3,TE,x00100733,,,Descriptor #1,Numbers
2017,3,x00100733,Numeracy,2,3,TE,x00100733,,,Descriptor #1,Numbers
2017,5,x00101685,Reading,2,12,MC,x00101685,,"[""vitod869""]",Descriptor #1,Letters
2017,5,x00101685,Reading,2,12,MC,x00101685,,"[""vitod869""]",Descriptor #1,Letters
2017,5,x00101685,Reading,4,12,MC,x00101685,,"[""vitod869""]",Descriptor #1,Letters
2017,5,x00101685,Reading,4,12,MC,x00101685,,"[""vitod869""]",Descriptor #1,Letters
2017,3,x00101685,Reading,2,4,MC,x00101685,,"[""vitod869""]",Descriptor #1,Letters
2017,3,x00101685,Reading,2,4,MC,x00101685,,"[""vitod869""]",Descriptor #1,Letters
2017,9,x00102710,Spelling,1,3,IA,x00102710,,,Descriptor #1,Spelling
2017,9,x00102710,Spelling,1,3,IA,x00102710,,,Descriptor #1,Spelling
2017,3,x00101721,Reading,2,12,HS,x00101721,,"[""cgqtt657""]",Descriptor #1,Letters
2017,3,x00101721,Reading,2,12,HS,x00101721,,"[""cgqtt657""]",Descriptor #1,Letters
2017,7,x00102540-05-AIA,Spelling,2,6,TE,x00102540-05-AIA,,"[""gzwlu452""]",Descriptor #1,Spelling
2017,5,x00102435-03-AIA,Spelling,1,4,TE,x00102435-03-AIA,,"[""dlegj893""]",Descriptor #1,Spelling
2017,9,x00101427,Numeracy,1,2,MC,x00101427,,,Descriptor #1,Numbers
2017,9,x00101427,Numeracy,1,2,MC,x00101427,,,Descriptor #1,Numbers
2017,7,x00102128,Reading,1,12,MC,x00102128,,"[""ktpqn555""]",Descriptor #1,Letters
2017,7,x00102128,Reading,1,12,MC,x00102128,,"[""ktpqn555""]",Descriptor #1,Letters
2017,9,x00101527,Numeracy,1,12,MC,x00101527,,,Descriptor #1,Numbers
2017,9,x00101527,Numeracy,1,12,MC,x00101527,,,Descriptor #1,Numbers
2017,9,x00100583,Grammar and Punctuation,1,10,TE,x00100583,,,Descriptor #1,Grammar
2017,9,x00100583,Grammar and Punctuation,1,10,TE,x00100583,,,Descriptor #1,Grammar
2017,9,x00102285,Reading,2,16,MC,x00102285,,"[""gugvd900""]",Descriptor #1,Letters
2017,9,x00102285,Reading,2,16,MC,x00102285,,"[""gugvd900""]",Descriptor #1,Letters
2017,3,x00100788,Numeracy,1,13,TS,x00100788,,,Descriptor #1,Numbers
2017,3,x00100788,Numeracy,1,13,TS,x00100788,,,Descriptor #1,Numbers
2017,5,x00102517,Spelling,1,6,MC,x00102517,,,Descriptor #1,Spelling
2017,5,x00102517,Spelling,1,6,MC,x00102517,,,Descriptor #1,Spelling
2017,9,x00101469,Numeracy,1,8,MC,x00101469,,,Descriptor #1,Numbers
2017,9,x00101469,Numeracy,1,8,MC,x00101469,,,Descriptor #1,Numbers
2017,7,x00101334,Numeracy,2,16,IO,x00101334,,,Descriptor #1,Numbers
2017,9,x00102238,Reading,1,3,TE,x00102238,,"[""wonrh727""]",Descriptor #1,Letters
2017,9,x00102238,Reading,1,3,TE,x00102238,,"[""wonrh727""]",Descriptor #1,Letters
2017,7,x00100343,Grammar and Punctuation,2,4,MC,x00100343,,,Descriptor #1,Grammar
2017,7,x00100343,Grammar and Punctuation,2,4,MC,x00100343,,,Descriptor #1,Grammar
2017,7,x00102078,Reading,2,13,MC,x00102078,,"[""prsyy464""]",Descriptor #1,Letters
2017,7,x00102078,Reading,2,13,MC,x00102078,,"[""prsyy464""]",Descriptor #1,Letters
2017,3,x00101705,Reading,1,10,TE,x00101705,,"[""dyirr716""]",Descriptor #1,Letters
2017,3,x00101705,Reading,1,10,TE,x00101705,,"[""dyirr716""]",Descriptor #1,Letters
2017,5,x00102531,Spelling,2,9,MC,x00102531,,,Descriptor #1,Spelling
2017,5,x00102531,Spelling,2,9,MC,x00102531,,,Descriptor #1,Spelling
2017,9,x00100515,Grammar and Punctuation,2,20,TE,x00100515,,,Descriptor #1,Grammar
2017,9,x00100515,Grammar and Punctuation,2,20,TE,x00100515,,,Descriptor #1,Grammar
2017,3,x00101725,Reading,1,2,PO,x00101725,,"[""acigo687""]",Descriptor #1,Letters
2017,3,x00101725,Reading,1,2,PO,x00101725,,"[""acigo687""]",Descriptor #1,Letters
2017,9,x00102298,Reading,1,12,MC,x00102298,,"[""jquor185""]",Descriptor #1,Letters
2017,9,x00102298,Reading,1,12,MC,x00102298,,"[""jquor185""]",Descriptor #1,Letters
2017,3,x00100125,Grammar and Punctuation,1,20,MC,x00100125,,,Descriptor #1,Grammar
2017,3,x00100125,Grammar and Punctuation,1,20,MC,x00100125,,,Descriptor #1,Grammar
2017,5,x00102450,Spelling,1,1,MC,x00102450,,,Descriptor #1,Spelling
2017,5,x00102450,Spelling,1,1,MC,x00102450,,,Descriptor #1,Spelling
2017,5,x00102476,Spelling,1,7,MC,x00102476,,,Descriptor #1,Spelling
2017,5,x00102476,Spelling,1,7,MC,x00102476,,,Descriptor #1,Spelling
2017,3,x00100854,Numeracy,1,4,MC,x00100854,,,Descriptor #1,Numbers
2017,3,x00100854,Numeracy,1,4,MC,x00100854,,,Descriptor #1,Numbers
2017,7,x00101953,Reading,2,7,TE,x00101953,,"[""fcjjw718""]",Descriptor #1,Letters
2017,7,x00101953,Reading,2,7,TE,x00101953,,"[""fcjjw718""]",Descriptor #1,Letters
2017,3,x00100686,Numeracy,1,1,MC,x00100686,,,Descriptor #1,Numbers
2017,3,x00100686,Numeracy,1,1,MC,x00100686,,,Descriptor #1,Numbers
2017,7,x00102109,Reading,2,10,MC,x00102109,,"[""wewnr939""]",Descriptor #1,Letters
2017,7,x00102109,Reading,2,10,MC,x00102109,,"[""wewnr939""]",Descriptor #1,Letters
2017,3,x00100660,Numeracy,3,5,TE,x00100660,,,Descriptor #1,Numbers
2017,3,x00100660,Numeracy,3,5,TE,x00100660,,,Descriptor #1,Numbers
2017,7,x00100385,Grammar and Punctuation,1,20,MC,x00100385,,,Descriptor #1,Grammar
2017,7,x00100385,Grammar and Punctuation,1,20,MC,x00100385,,,Descriptor #1,Grammar
2017,7,x00102120,Reading,1,4,MC,x00102120,,"[""xjyzi976""]",Descriptor #1,Letters
2017,7,x00102120,Reading,1,4,MC,x00102120,,"[""xjyzi976""]",Descriptor #1,Letters
2017,3,x00101604,Reading,3,7,IM,x00101604,,"[""axkip876""]",Descriptor #1,Letters
2017,3,x00101604,Reading,3,7,IM,x00101604,,"[""axkip876""]",Descriptor #1,Letters
2017,9,x00101517,Numeracy,1,2,SL,x00101517,,,Descriptor #1,Numbers
2017,9,x00101517,Numeracy,1,2,SL,x00101517,,,Descriptor #1,Numbers
2017,3,x00100048,Grammar and Punctuation,2,21,MC,x00100048,,,Descriptor #1,Grammar
2017,3,x00100048,Grammar and Punctuation,2,21,MC,x00100048,,,Descriptor #1,Grammar
2017,9,x00101509,Numeracy,2,12,IA,x00101509,,,Descriptor #1,Numbers
2017,9,x00101509,Numeracy,2,12,IA,x00101509,,,Descriptor #1,Numbers
2017,7,x00101985,Reading,4,5,TE,x00101985,,"[""ybyjo109""]",Descriptor #1,Letters
2017,7,x00101985,Reading,4,5,TE,x00101985,,"[""ybyjo109""]",Descriptor #1,Letters
2017,3,x00100043,Grammar and Punctuation,2,16,IA,x00100043,,,Descriptor #1,Grammar
2017,3,x00100043,Grammar and Punctuation,2,16,IA,x00100043,,,Descriptor #1,Grammar
2017,7,x00101964,Reading,3,1,IGA,x00101964,,"[""eeugl837""]",Descriptor #1,Letters
2017,7,x00101964,Reading,3,1,IGA,x00101964,,"[""eeugl837""]",Descriptor #1,Letters
2017,7,x00100320,Grammar and Punctuation,1,7,MC,x00100320,,,Descriptor #1,Grammar
2017,7,x00100320,Grammar and Punctuation,1,7,MC,x00100320,,,Descriptor #1,Grammar
2017,9,x00100560,Grammar and Punctuation,2,13,IM,x00100560,,,Descriptor #1,Grammar
2017,9,x00100560,Grammar and Punctuation,2,13,IM,x00100560,,,Descriptor #1,Grammar
2017,3,x00101633,Reading,1,8,TE,x00101633,,"[""cpplf968""]",Descriptor #1,Letters
2017,3,x00101633,Reading,1,8,TE,x00101633,,"[""cpplf968""]",Descriptor #1,Letters
2017,9,x00102335,Reading,1,15,MC,x00102335,,"[""jrpzt987""]",Descriptor #1,Letters
2017,9,x00102335,Reading,1,15,MC,x00102335,,"[""jrpzt987""]",Descriptor #1,Letters
2017,5,x00102448,Spelling,2,6,TE,x00102448,,"[""ukhru966""]",Descriptor #1,Spelling
2017,5,x00102448,Spelling,2,6,TE,x00102448,,"[""ukhru966""]",Descriptor #1,Spelling
2017,5,x00100213,Grammar and Punctuation,1,4,MC,x00100213,,,Descriptor #1,Grammar
2017,5,x00100213,Grammar and Punctuation,1,4,MC,x00100213,,,Descriptor #1,Grammar
2017,5,x00101674,Reading,1,15,MC,x00101674,,"[""hpqar595""]",Descriptor #1,Letters
2017,5,x00101674,Reading,1,15,MC,x00101674,,"[""hpqar595""]",Descriptor #1,Letters
2017,5,x00101674,Reading,3,15,MC,x00101674,,"[""hpqar595""]",Descriptor #1,Letters
2017,5,x00101674,Reading,3,15,MC,x00101674,,"[""hpqar595""]",Descriptor #1,Letters
2017,3,x00101674,Reading,1,7,MC,x00101674,,"[""hpqar595""]",Descriptor #1,Letters
2017,3,x00101674,Reading,1,7,MC,x00101674,,"[""hpqar595""]",Descriptor #1,Letters
2017,9,x00101319,Numeracy,2,10,MC,x00101319,,,Descriptor #1,Numbers
2017,9,x00101319,Numeracy,2,10,MC,x00101319,,,Descriptor #1,Numbers
2017,7,x00101319,Numeracy,2,2,MC,x00101319,,,Descriptor #1,Numbers
2017,7,x00101319,Numeracy,2,2,MC,x00101319,,,Descriptor #1,Numbers
2017,9,x00101447,Numeracy,2,4,IO,x00101447,,,Descriptor #1,Numbers
2017,9,x00101447,Numeracy,2,4,IO,x00101447,,,Descriptor #1,Numbers
2017,5,x00101124,Numeracy,1,4,IGA,x00101124,,,Descriptor #1,Numbers
2017,5,x00101124,Numeracy,1,4,IGA,x00101124,,,Descriptor #1,Numbers
2017,7,x00102132,Reading,1,16,MC,x00102132,,"[""jvcuk933""]",Descriptor #1,Letters
2017,7,x00102132,Reading,1,16,MC,x00102132,,"[""jvcuk933""]",Descriptor #1,Letters
2017,9,x00102158,Reading,2,8,TE,x00102158,,"[""hutyu967""]",Descriptor #1,Letters
2017,9,x00102158,Reading,2,8,TE,x00102158,,"[""hutyu967""]",Descriptor #1,Letters
2017,3,x00101679,Reading,1,12,MC,x00101679,,"[""issle179""]",Descriptor #1,Letters
2017,3,x00101679,Reading,1,12,MC,x00101679,,"[""issle179""]",Descriptor #1,Letters
2017,7,x00102626,Spelling,2,6,TE,x00102626,,,Descriptor #1,Spelling
2017,7,x00102626,Spelling,2,6,TE,x00102626,,,Descriptor #1,Spelling
2017,9,x00100581,Grammar and Punctuation,1,8,TE,x00100581,,,Descriptor #1,Grammar
2017,9,x00100581,Grammar and Punctuation,1,8,TE,x00100581,,,Descriptor #1,Grammar
2017,9,x00100582,Grammar and Punctuation,1,9,MC,x00100582,,,Descriptor #1,Grammar
2017,9,x00100582,Grammar and Punctuation,1,9,MC,x00100582,,,Descriptor #1,Grammar
2017,5,x00102508,Spelling,2,8,MC,x00102508,,,Descriptor #1,Spelling
2017,5,x00102508,Spelling,2,8,MC,x00102508,,,Descriptor #1,Spelling
2017,5,x00100215,Grammar and Punctuation,1,6,MC,x00100215,,,Descriptor #1,Grammar
2017,5,x00100215,Grammar and Punctuation,1,6,MC,x00100215,,,Descriptor #1,Grammar
2017,9,x00101363,Numeracy,1,10,MC,x00101363,,,Descriptor #1,Numbers
2017,9,x00101363,Numeracy,1,10,MC,x00101363,,,Descriptor #1,Numbers
2017,3,x00100749,Numeracy,1,4,TE,x00100749,,,Descriptor #1,Numbers
2017,3,x00100749,Numeracy,1,4,TE,x00100749,,,Descriptor #1,Numbers
2017,5,x00100206,Grammar and Punctuation,2,23,TE,x00100206,,,Descriptor #1,Grammar
2017,5,x00100206,Grammar and Punctuation,2,23,TE,x00100206,,,Descriptor #1,Grammar
2017,3,x00100763,Numeracy,2,3,MC,x00100763,,,Descriptor #1,Numbers
2017,3,x00100763,Numeracy,2,3,MC,x00100763,,,Descriptor #1,Numbers
2017,9,x00101503,Numeracy,2,6,MC,x00101503,,,Descriptor #1,Numbers
2017,9,x00101503,Numeracy,2,6,MC,x00101503,,,Descriptor #1,Numbers
2017,3,x00100731,Numeracy,2,1,MC,x00100731,,,Descriptor #1,Numbers
2017,3,x00100731,Numeracy,2,1,MC,x00100731,,,Descriptor #1,Numbers
2017,5,x00101022,Numeracy,2,4,IGGM,x00101022,,,Descriptor #1,Numbers
2017,5,x00101022,Numeracy,2,4,IGGM,x00101022,,,Descriptor #1,Numbers
2017,3,x00100003,Grammar and Punctuation,1,2,MC,x00100003,,,Descriptor #1,Grammar
2017,3,x00100003,Grammar and Punctuation,1,2,MC,x00100003,,,Descriptor #1,Grammar
2017,9,x00101481,Numeracy,1,2,TE,x00101481,,,Descriptor #1,Numbers
2017,9,x00101481,Numeracy,1,2,TE,x00101481,,,Descriptor #1,Numbers
2017,5,x00100944,Numeracy,1,11,MC,x00100944,,,Descriptor #1,Numbers
2017,5,x00100944,Numeracy,1,11,MC,x00100944,,,Descriptor #1,Numbers
2017,7,x00100944,Numeracy,1,4,MC,x00100944,,,Descriptor #1,Numbers
2017,7,x00100944,Numeracy,1,4,MC,x00100944,,,Descriptor #1,Numbers
2017,9,x00100555,Grammar and Punctuation,2,8,IC,x00100555,,,Descriptor #1,Grammar
2017,9,x00100555,Grammar and Punctuation,2,8,IC,x00100555,,,Descriptor #1,Grammar
2017,9,x00101523,Numeracy,1,8,TE,x00101523,,,Descriptor #1,Numbers
2017,9,x00101523,Numeracy,1,8,TE,x00101523,,,Descriptor #1,Numbers
2017,9,x00101370,Numeracy,1,16,TE,x00101370,,,Descriptor #1,Numbers
2017,5,x00100742,Numeracy,2,6,HS,x00100742,,,Descriptor #1,Numbers
2017,5,x00100742,Numeracy,2,6,HS,x00100742,,,Descriptor #1,Numbers
2017,3,x00100742,Numeracy,2,12,HS,x00100742,,,Descriptor #1,Numbers
2017,3,x00100742,Numeracy,2,12,HS,x00100742,,,Descriptor #1,Numbers
2017,5,x00102453,Spelling,1,4,IA,x00102453,,,Descriptor #1,Spelling
2017,5,x00102453,Spelling,1,4,IA,x00102453,,,Descriptor #1,Spelling
2017,9,x00102706,Spelling,2,10,MC,x00102706,,,Descriptor #1,Spelling
2017,9,x00102706,Spelling,2,10,MC,x00102706,,,Descriptor #1,Spelling
2017,5,x00101060,Numeracy,1,8,PO,x00101060,,,Descriptor #1,Numbers
2017,5,x00101060,Numeracy,1,8,PO,x00101060,,,Descriptor #1,Numbers
2017,3,x00101710,Reading,2,1,MC,x00101710,,"[""flfye262""]",Descriptor #1,Letters
2017,3,x00101710,Reading,2,1,MC,x00101710,,"[""flfye262""]",Descriptor #1,Letters
2017,5,x00101710,Reading,2,9,MC,x00101710,,"[""flfye262""]",Descriptor #1,Letters
2017,5,x00101710,Reading,2,9,MC,x00101710,,"[""flfye262""]",Descriptor #1,Letters
2017,5,x00100188,Grammar and Punctuation,2,5,MC,x00100188,,,Descriptor #1,Grammar
2017,5,x00100188,Grammar and Punctuation,2,5,MC,x00100188,,,Descriptor #1,Grammar
2017,5,x00101072,Numeracy,2,3,ET,x00101072,,,Descriptor #1,Numbers
2017,5,x00101072,Numeracy,2,3,ET,x00101072,,,Descriptor #1,Numbers
2017,9,x00102649,Spelling,1,4,TE,x00102649,,,Descriptor #1,Spelling
2017,9,x00102649,Spelling,1,4,TE,x00102649,,,Descriptor #1,Spelling
2017,3,x00100031,Grammar and Punctuation,2,4,IGA,x00100031,,,Descriptor #1,Grammar
2017,3,x00100031,Grammar and Punctuation,2,4,IGA,x00100031,,,Descriptor #1,Grammar
2017,9,x00101450,Numeracy,2,7,MC,x00101450,,,Descriptor #1,Numbers
2017,9,x00101450,Numeracy,2,7,MC,x00101450,,,Descriptor #1,Numbers
2017,3,x00100146,Grammar and Punctuation,2,15,IC,x00100146,,,Descriptor #1,Grammar
2017,3,x00100146,Grammar and Punctuation,2,15,IC,x00100146,,,Descriptor #1,Grammar
2017,9,x00101401,Numeracy,1,12,TE,x00101401,,,Descriptor #1,Numbers
2017,9,x00101401,Numeracy,1,12,TE,x00101401,,,Descriptor #1,Numbers
2017,5,x00101034,Numeracy,2,15,MC,x00101034,,,Descriptor #1,Numbers
2017,3,x00101612,Reading,4,1,IM,x00101612,,"[""mqobu542""]",Descriptor #1,Letters
2017,3,x00101612,Reading,4,1,IM,x00101612,,"[""mqobu542""]",Descriptor #1,Letters
2017,5,x00102488,Spelling,2,9,COMP,x00102488,,,Descriptor #1,Spelling
2017,5,x00102488,Spelling,2,9,COMP,x00102488,,,Descriptor #1,Spelling
2017,9,x00101418,Numeracy,2,11,MC,x00101418,,,Descriptor #1,Numbers
2017,9,x00101418,Numeracy,2,11,MC,x00101418,,,Descriptor #1,Numbers
2017,9,x00100490,Grammar and Punctuation,1,21,MC,x00100490,,,Descriptor #1,Grammar
2017,9,x00100490,Grammar and Punctuation,1,21,MC,x00100490,,,Descriptor #1,Grammar
2017,5,x00100698,Numeracy,1,7,IO,x00100698,,,Descriptor #1,Numbers
2017,5,x00100698,Numeracy,1,7,IO,x00100698,,,Descriptor #1,Numbers
2017,3,x00100698,Numeracy,1,13,IO,x00100698,,,Descriptor #1,Numbers
2017,3,x00100698,Numeracy,1,13,IO,x00100698,,,Descriptor #1,Numbers
2017,7,x00101210,Numeracy,1,1,MC,x00101210,,,Descriptor #1,Numbers
2017,7,x00101210,Numeracy,1,1,MC,x00101210,,,Descriptor #1,Numbers
2017,3,x00100098,Grammar and Punctuation,2,19,IGO,x00100098,,,Descriptor #1,Grammar
2017,3,x00100098,Grammar and Punctuation,2,19,IGO,x00100098,,,Descriptor #1,Grammar
