Test,Level,Domain,Type,Testlet Name,Testlet Location In Stage,Testlet Node,Testlet Max. Score," Item Subdomain",Item Descriptor,Item Difficulty,Item Max. Score,Correct Answer,Item Type,Marking Type,Exemplar URL,Item RefID
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0176ef38-1695-4323-89a7-7d0682bc478d
Reading Year 7,7,Reading,Normal,B2,2,B,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,01ec4099-788f-4c8b-bb82-040428e04e6f
Reading Year 7,7,Reading,Normal,B2,2,B,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,01ec4099-788f-4c8b-bb82-040428e04e6f
Numeracy Year 3,3,Numeracy,Normal,B1,1,B,13,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0212fd59-f5ba-4320-b4d9-f7bddbe7987f
Numeracy Year 3,3,Numeracy,Normal,B1,1,B,13,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0212fd59-f5ba-4320-b4d9-f7bddbe7987f
Numeracy Year 9,9,Numeracy,Normal,E1,1,E,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,022e15f3-baad-4e2d-8042-8c6f23f7a7d0
Numeracy Year 9,9,Numeracy,Normal,E1,1,E,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,022e15f3-baad-4e2d-8042-8c6f23f7a7d0
Numeracy Year 9,9,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,SP,AS,https://www.assessform.edu.au/Exemplar/1,023e3471-927a-41c9-ba29-f9259409fc30
Numeracy Year 9,9,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,SP,AS,https://www.assessform.edu.au/Exemplar/1,023e3471-927a-41c9-ba29-f9259409fc30
Grammar and Punctuation Year 5,5,Grammar and Punctuation,Normal,GC1,1,GC,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0240a961-ebba-4c22-9385-e2737598f671
Grammar and Punctuation Year 5,5,Grammar and Punctuation,Normal,GC1,1,GC,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0240a961-ebba-4c22-9385-e2737598f671
Reading Year 5,5,Reading,Normal,B2,2,B,15,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,029841cf-5b5a-4f7a-82a6-8143567373ad
Reading Year 5,5,Reading,Normal,B2,2,B,15,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,029841cf-5b5a-4f7a-82a6-8143567373ad
Reading Year 3,3,Reading,Normal,E2,2,E,13,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,029841cf-5b5a-4f7a-82a6-8143567373ad
Reading Year 3,3,Reading,Normal,E2,2,E,13,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,029841cf-5b5a-4f7a-82a6-8143567373ad
Numeracy Year 9,9,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,02b9889d-46bd-4415-ad06-e8ff8c6640ee
Numeracy Year 9,9,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,02b9889d-46bd-4415-ad06-e8ff8c6640ee
Numeracy Year 7,7,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,02b9889d-46bd-4415-ad06-e8ff8c6640ee
Numeracy Year 7,7,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,02b9889d-46bd-4415-ad06-e8ff8c6640ee
Spelling Year 5,5,Spelling,Normal,PB2,2,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,02bc5846-82d3-48f1-93d8-cab6ec0deced
Spelling Year 5,5,Spelling,Normal,PB2,2,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,02bc5846-82d3-48f1-93d8-cab6ec0deced
Reading Year 9,9,Reading,Normal,A2,2,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,03107629-b523-4706-a62d-13517b052233
Reading Year 9,9,Reading,Normal,A2,2,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,03107629-b523-4706-a62d-13517b052233
Reading Year 3,3,Reading,Normal,A4,4,A,13,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,032df91d-6c1b-4746-97ea-9a1491b6ea71
Reading Year 3,3,Reading,Normal,A4,4,A,13,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,032df91d-6c1b-4746-97ea-9a1491b6ea71
Numeracy Year 3,3,Numeracy,Normal,D1,1,D,13,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,033e441e-45fd-4a43-ab08-6eac458e8290
Numeracy Year 3,3,Numeracy,Normal,D1,1,D,13,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,033e441e-45fd-4a43-ab08-6eac458e8290
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GC1,1,GC,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0368241c-62d6-4486-9049-7b0fe3a73256
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GC1,1,GC,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0368241c-62d6-4486-9049-7b0fe3a73256
Numeracy Year 3,3,Numeracy,Normal,F1,1,F,13,Numbers,Descriptor #1,3,1,,IGGM,AS,https://www.assessform.edu.au/Exemplar/1,038d6ee6-62ce-4248-bb4d-7620089efaa1
Numeracy Year 3,3,Numeracy,Normal,F1,1,F,13,Numbers,Descriptor #1,3,1,,IGGM,AS,https://www.assessform.edu.au/Exemplar/1,038d6ee6-62ce-4248-bb4d-7620089efaa1
Spelling Year 7,7,Spelling,Normal,SB2,2,SB,9,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,039436e0-7824-4078-b4ce-2ffc428cf80e
Spelling Year 7,7,Spelling,Normal,SB2,2,SB,9,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,039436e0-7824-4078-b4ce-2ffc428cf80e
Reading Year 3,3,Reading,Normal,B1,1,B,13,Letters,Descriptor #1,3,1,,PO,AS,https://www.assessform.edu.au/Exemplar/1,03c0937f-f9a1-44af-8cb9-f16f9b274c9c
Reading Year 3,3,Reading,Normal,B1,1,B,13,Letters,Descriptor #1,3,1,,PO,AS,https://www.assessform.edu.au/Exemplar/1,03c0937f-f9a1-44af-8cb9-f16f9b274c9c
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,03cdd21d-41ad-42df-82fd-121fd20b3afc
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,03cdd21d-41ad-42df-82fd-121fd20b3afc
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,SL,AS,https://www.assessform.edu.au/Exemplar/1,03f7ff85-3002-492c-9a5a-b3c676a3e5fa
Grammar and Punctuation Year 7,7,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,SL,AS,https://www.assessform.edu.au/Exemplar/1,03f7ff85-3002-492c-9a5a-b3c676a3e5fa
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GE1,1,GE,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,041eb5ea-dd33-4310-9aa4-d0d3aff9a20d
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GE1,1,GE,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,041eb5ea-dd33-4310-9aa4-d0d3aff9a20d
Numeracy Year 3,3,Numeracy,Normal,D2,2,D,13,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0436e0e4-241c-433a-af0b-0c520be171e9
Numeracy Year 3,3,Numeracy,Normal,D2,2,D,13,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0436e0e4-241c-433a-af0b-0c520be171e9
Numeracy Year 5,5,Numeracy,Normal,NC2,2,NC,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0482c417-b8db-4be3-9251-f998865d014f
Numeracy Year 5,5,Numeracy,Normal,NC2,2,NC,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0482c417-b8db-4be3-9251-f998865d014f
Numeracy Year 7,7,Numeracy,Normal,NC2,2,NC,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0482c417-b8db-4be3-9251-f998865d014f
Numeracy Year 7,7,Numeracy,Normal,NC2,2,NC,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0482c417-b8db-4be3-9251-f998865d014f
Reading Year 9,9,Reading,Normal,A4,4,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0482cddd-9a20-4188-b76e-600620115a32
Reading Year 9,9,Reading,Normal,A4,4,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0482cddd-9a20-4188-b76e-600620115a32
Spelling Year 5,5,Spelling,Normal,SA1,1,SA,6,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049f5a49-0e21-4fdf-81db-7e265f4f0f3d
Spelling Year 5,5,Spelling,Normal,SA1,1,SA,6,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049f5a49-0e21-4fdf-81db-7e265f4f0f3d
Reading Year 7,7,Reading,Normal,D2,2,D,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049fbe80-3e02-48cc-9337-b7cfa28a8896
Reading Year 7,7,Reading,Normal,D2,2,D,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049fbe80-3e02-48cc-9337-b7cfa28a8896
Reading Year 9,9,Reading,Normal,A2,2,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049fbe80-3e02-48cc-9337-b7cfa28a8896
Reading Year 9,9,Reading,Normal,A2,2,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049fbe80-3e02-48cc-9337-b7cfa28a8896
Reading Year 9,9,Reading,Normal,A4,4,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049fbe80-3e02-48cc-9337-b7cfa28a8896
Reading Year 9,9,Reading,Normal,A4,4,A,16,Letters,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,049fbe80-3e02-48cc-9337-b7cfa28a8896
Numeracy Year 5,5,Numeracy,Normal,NC1,1,NC,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,04c67593-23f0-4f46-8e73-12a5fe61f477
Numeracy Year 5,5,Numeracy,Normal,NC1,1,NC,15,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,04c67593-23f0-4f46-8e73-12a5fe61f477
Numeracy Year 7,7,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,04c67593-23f0-4f46-8e73-12a5fe61f477
Numeracy Year 7,7,Numeracy,Normal,NC1,1,NC,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,04c67593-23f0-4f46-8e73-12a5fe61f477
Numeracy Year 3,3,Numeracy,Normal,F1,1,F,13,Numbers,Descriptor #1,3,1,,HS,AS,https://www.assessform.edu.au/Exemplar/1,04e337f5-5f86-4033-a516-3e968ea5471b
Numeracy Year 3,3,Numeracy,Normal,F1,1,F,13,Numbers,Descriptor #1,3,1,,HS,AS,https://www.assessform.edu.au/Exemplar/1,04e337f5-5f86-4033-a516-3e968ea5471b
Numeracy Year 7,7,Numeracy,Normal,B1,1,B,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0514106e-dad9-48ed-a88d-2eb56113f9d1
Numeracy Year 7,7,Numeracy,Normal,B1,1,B,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0514106e-dad9-48ed-a88d-2eb56113f9d1
Spelling Year 9,9,Spelling,Normal,SB2,2,SB,9,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,051ec094-ad77-4229-8da4-1f9dd3040cf9
Spelling Year 9,9,Spelling,Normal,SB2,2,SB,9,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,051ec094-ad77-4229-8da4-1f9dd3040cf9
Numeracy Year 9,9,Numeracy,Normal,CA2,2,CA,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,05587688-ddc9-4992-985a-1bc0fbfdbb76
Numeracy Year 9,9,Numeracy,Normal,CA2,2,CA,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,05587688-ddc9-4992-985a-1bc0fbfdbb76
Numeracy Year 7,7,Numeracy,Normal,CA1,1,CA,16,Numbers,Descriptor #1,3,1,,IC,AS,https://www.assessform.edu.au/Exemplar/1,0576e429-64b0-4b90-9184-8506bb1fc318
Spelling Year 5,5,Spelling,Normal,PB1,1,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0578f98b-f4b2-45bd-bb59-5625fe027160
Spelling Year 5,5,Spelling,Normal,PB1,1,PB,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0578f98b-f4b2-45bd-bb59-5625fe027160
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GE2,2,GE,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,05871af4-3251-477a-94d7-037179189eda
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GE2,2,GE,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,05871af4-3251-477a-94d7-037179189eda
Reading Year 7,7,Reading,Normal,F1,1,F,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,06389909-ac51-4f5d-a6d6-00a3cf4db533
Reading Year 7,7,Reading,Normal,F1,1,F,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,06389909-ac51-4f5d-a6d6-00a3cf4db533
Grammar and Punctuation Year 3,3,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,063ecfb3-8449-42d7-8376-31b3244a6aad
Grammar and Punctuation Year 3,3,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,063ecfb3-8449-42d7-8376-31b3244a6aad
Numeracy Year 3,3,Numeracy,Normal,NC2,2,NC,13,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0657f2b1-5fe1-47c1-8be4-6983ca600db4
Numeracy Year 3,3,Numeracy,Normal,NC2,2,NC,13,Numbers,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0657f2b1-5fe1-47c1-8be4-6983ca600db4
Reading Year 5,5,Reading,Normal,A2,2,A,15,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,066b43ce-c3fc-47d2-b04c-eb69a400bfcb
Reading Year 5,5,Reading,Normal,A2,2,A,15,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,066b43ce-c3fc-47d2-b04c-eb69a400bfcb
Reading Year 5,5,Reading,Normal,A4,4,A,15,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,066b43ce-c3fc-47d2-b04c-eb69a400bfcb
Reading Year 5,5,Reading,Normal,A4,4,A,15,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,066b43ce-c3fc-47d2-b04c-eb69a400bfcb
Reading Year 3,3,Reading,Normal,D2,2,D,13,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,066b43ce-c3fc-47d2-b04c-eb69a400bfcb
Reading Year 3,3,Reading,Normal,D2,2,D,13,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,066b43ce-c3fc-47d2-b04c-eb69a400bfcb
Spelling Year 9,9,Spelling,Normal,PD1,1,PD,10,Spelling,Descriptor #1,3,1,,IA,AS,https://www.assessform.edu.au/Exemplar/1,067276e3-0409-4989-ba47-09fc0a6fca86
Spelling Year 9,9,Spelling,Normal,PD1,1,PD,10,Spelling,Descriptor #1,3,1,,IA,AS,https://www.assessform.edu.au/Exemplar/1,067276e3-0409-4989-ba47-09fc0a6fca86
Reading Year 3,3,Reading,Normal,E2,2,E,13,Letters,Descriptor #1,3,1,,HS,AS,https://www.assessform.edu.au/Exemplar/1,06909bb5-55e9-4f36-8589-866f7ad51311
Reading Year 3,3,Reading,Normal,E2,2,E,13,Letters,Descriptor #1,3,1,,HS,AS,https://www.assessform.edu.au/Exemplar/1,06909bb5-55e9-4f36-8589-866f7ad51311
Spelling Year 7,7,Spelling,Normal,SA2,2,SA,6,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,06bdd7b5-f484-4ee1-a6d5-349de324201d
Spelling Year 5,5,Spelling,Normal,SA1,1,SA,6,Spelling,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,06fa62bc-d934-4d14-9691-5c33ec37193c
Numeracy Year 9,9,Numeracy,Normal,B1,1,B,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0732cc36-9c87-43d3-8f26-7ba6cf864436
Numeracy Year 9,9,Numeracy,Normal,B1,1,B,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0732cc36-9c87-43d3-8f26-7ba6cf864436
Reading Year 7,7,Reading,Normal,F1,1,F,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0749a0c9-cf33-46c4-8f44-2ad5edca42fd
Reading Year 7,7,Reading,Normal,F1,1,F,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,0749a0c9-cf33-46c4-8f44-2ad5edca42fd
Numeracy Year 9,9,Numeracy,Normal,E1,1,E,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,075ea472-ab7a-403e-bc97-4f7db620d96b
Numeracy Year 9,9,Numeracy,Normal,E1,1,E,16,Numbers,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,075ea472-ab7a-403e-bc97-4f7db620d96b
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0764a7de-a5be-4b6d-a03b-ca4946572701
Grammar and Punctuation Year 9,9,Grammar and Punctuation,Normal,GF1,1,GF,25,Grammar,Descriptor #1,3,1,,TE,AES,https://www.assessform.edu.au/Exemplar/1,0764a7de-a5be-4b6d-a03b-ca4946572701
Reading Year 9,9,Reading,Normal,D2,2,D,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,077c64d8-c5d0-4511-a3e6-5b55eeb9c97e
Reading Year 9,9,Reading,Normal,D2,2,D,16,Letters,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,077c64d8-c5d0-4511-a3e6-5b55eeb9c97e
Numeracy Year 3,3,Numeracy,Normal,C1,1,C,13,Numbers,Descriptor #1,3,1,,TS,AS,https://www.assessform.edu.au/Exemplar/1,0786de69-f8dd-426b-874e-ab21009426a3
Numeracy Year 3,3,Numeracy,Normal,C1,1,C,13,Numbers,Descriptor #1,3,1,,TS,AS,https://www.assessform.edu.au/Exemplar/1,0786de69-f8dd-426b-874e-ab21009426a3
Spelling Year 5,5,Spelling,Normal,PD1,1,PD,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,07ba1606-19a7-4215-9d1b-92295b2e4d1d
Spelling Year 5,5,Spelling,Normal,PD1,1,PD,10,Spelling,Descriptor #1,3,1,,MC,AS,https://www.assessform.edu.au/Exemplar/1,07ba1606-19a7-4215-9d1b-92295b2e4d1d
