TESTLET_ID,ITEM_ID,SEQUENCE
x00102371,x00102379,8
x00102533,x00102536,3
x00102533,x00102536,3
x00102459,x00102467,8
x00102459,x00102467,8
x00101209,x00101211,2
x00101209,x00101211,2
x00101597,x00101608,11
x00101597,x00101608,11
x00100339,x00100355,16
x00100339,x00100355,16
x00100950,x00100959,9
x00100950,x00100959,9
x00101155,x00100959,2
x00101155,x00100959,2
x00100131,x00100153,22
x00100131,x00100153,22
x00102685,x00102689,4
x00102685,x00102689,4
x00102631,x00102633,2
x00102631,x00102633,2
x00101461,x00101470,9
x00101461,x00101470,9
x00100131,x00100132,1
x00100131,x00100132,1
x00101753,x00101758,5
x00101753,x00101758,5
x00100820,x00100831,11
x00100820,x00100831,11
x00102540,x00102540-02-AIA,3
x00102609,x00102617,8
x00102609,x00102617,8
x00102371,x00102374,3
x00102371,x00102374,3
x00101407,x00101200,1
x00101407,x00101200,1
x00101191,x00101200,9
x00101191,x00101200,9
x00101018,x00100839,12
x00101018,x00100839,12
x00100835,x00100839,4
x00100835,x00100839,4
x00101281,x00101284,3
x00101281,x00101284,3
x00102320,x00102330,10
x00102320,x00102330,10
x00101980,x00101986,6
x00101980,x00101986,6
x00100365,x00100367,2
x00100365,x00100367,2
x00101425,x00101300,9
x00101425,x00101300,9
x00101299,x00101300,1
x00101299,x00101300,1
x00100235,x00100249,14
x00100235,x00100249,14
x00101245,x00101248,3
x00101245,x00101248,3
x00101317,x00101322,5
x00101317,x00101322,5
x00101443,x00101322,13
x00101443,x00101322,13
x00100495,x00100504,9
x00100495,x00100504,9
x00102413,x00102418,5
x00102413,x00102418,5
x00102533,x00102533-04-AIA,5
x00100183,x00100202,19
x00100183,x00100202,19
x00102252,x00102266,14
x00102252,x00102266,14
x00101653,x00101655,2
x00101653,x00101655,2
x00100850,x00100855,5
x00100850,x00100855,5
x00100079,x00100096,17
x00100079,x00100096,17
x00101052,x00101066,14
x00101052,x00101066,14
x00101963,x00101967,4
x00101963,x00101967,4
x00101389,x00101185,4
x00101389,x00101185,4
x00101173,x00101185,12
x00101173,x00101185,12
x00101533,x00101543,10
x00101533,x00101543,10
x00100547,x00100558,11
x00100547,x00100558,11
x00101639,x00101649,10
x00101639,x00101649,10
x00101980,x00101873,16
x00101980,x00101873,16
x00101865,x00101873,8
x00101865,x00101873,8
x00101946,x00101873,16
x00101946,x00101873,16
x00101245,x00101257,12
x00101245,x00101257,12
x00100391,x00100394,3
x00100391,x00100394,3
x00101723,x00101735,12
x00101723,x00101735,12
x00102413,x00102417,4
x00102413,x00102417,4
x00101597,x00101609,12
x00101597,x00101609,12
x00101120,x00101134,14
x00101120,x00101134,14
x00100313,x00100314,1
x00100313,x00100314,1
x00100131,x00100148,17
x00100131,x00100148,17
x00101443,x00101318,9
x00101443,x00101318,9
x00101317,x00101318,1
x00101317,x00101318,1
x00101653,x00101656,3
x00101653,x00101656,3
x00102685,x00102693,8
x00102685,x00102693,8
x00101723,x00101729,6
x00101723,x00101729,6
x00100001,x00100004,3
x00100001,x00100004,3
x00102099,x00102101,2
x00102099,x00102101,2
x00102218,x00102101,10
x00102218,x00102101,10
x00100053,x00100078,25
x00100053,x00100078,25
x00100365,x00100379,14
x00100365,x00100379,14
x00102218,x00102225,7
x00102218,x00102225,7
x00100339,x00100354,15
x00100339,x00100354,15
x00102533,x00102539,6
x00102533,x00102539,6
x00101461,x00101477,16
x00101461,x00101477,16
x00100573,x00100598,25
x00100573,x00100598,25
x00102577,x00102580,3
x00102577,x00102580,3
x00102201,x00102202,1
x00102201,x00102202,1
x00102116,x00102122,6
x00102116,x00102122,6
x00100417,x00100421,4
x00100417,x00100421,4
x00102337,x00102337-00-AIA,1
x00101833,x00101842,9
x00101833,x00101842,9
x00102707,x00102716,9
x00102707,x00102716,9
x00100469,x00100494,25
x00100469,x00100494,25
x00101018,x00100841,14
x00101018,x00100841,14
x00100835,x00100841,6
x00100835,x00100841,6
x00100261,x00100281,20
x00100261,x00100281,20
x00100365,x00100372,7
x00100365,x00100372,7
x00101497,x00101502,5
x00101497,x00101502,5
x00100521,x00100534,13
x00100521,x00100534,13
x00101461,x00101466,5
x00101461,x00101466,5
x00102540,x00102546,6
x00102540,x00102546,6
x00102645,x00102651,6
x00102645,x00102651,6
x00101681,x00101684,3
x00101681,x00101684,3
x00101753,x00101684,11
x00101753,x00101684,11
x00101785,x00101684,11
x00101785,x00101684,11
x00101833,x00101837,4
x00101833,x00101837,4
x00101335,x00101344,9
x00101335,x00101344,9
x00100899,x00100913,14
x00100899,x00100913,14
x00100984,x00100995,11
x00100984,x00100995,11
x00101191,x00100995,4
x00101191,x00100995,4
x00102320,x00102336,16
x00102320,x00102336,16
x00101335,x00101347,12
x00101335,x00101347,12
x00102577,x00102584,7
x00102577,x00102584,7
x00101753,x00101754,1
x00101753,x00101754,1
x00100235,x00100248,13
x00100235,x00100248,13
x00100573,x00100593,20
x00100573,x00100593,20
x00102733,x00102734,1
x00102733,x00102734,1
x00101597,x00101599,2
x00101597,x00101599,2
x00102442,x00102446,4
x00102442,x00102446,4
x00100157,x00100165,8
x00100157,x00100165,8
x00101018,x00101026,8
x00101018,x00101026,8
x00102361,x00102365,4
x00102361,x00102365,4
x00102402,x00102410,8
x00102402,x00102410,8
x00100882,x00100898,15
x00101389,x00101189,8
x00101389,x00101189,8
x00101173,x00101189,16
x00101173,x00101189,16
x00101389,x00101399,10
x00101389,x00101399,10
x00100790,x00100795,5
x00100790,x00100795,5
x00100235,x00100254,19
x00100235,x00100254,19
x00101611,x00101615,4
x00101611,x00101615,4
x00101069,x00101083,14
x00101069,x00101083,14
x00100685,x00100699,13
x00101515,x00101518,3
x00101515,x00101518,3
x00100899,x00100912,13
x00100899,x00100912,13
x00101737,x00101741,4
x00101737,x00101741,4
x00102286,x00102299,13
x00102286,x00102299,13
x00101709,x00101719,10
x00101709,x00101719,10
x00100443,x00100455,12
x00100443,x00100455,12
x00101849,x00101857,8
x00101849,x00101857,8
x00101929,x00101857,16
x00101929,x00101857,16
x00101963,x00101857,16
x00101963,x00101857,16
x00100261,x00100270,9
x00100261,x00100270,9
x00102218,x00102221,3
x00102218,x00102221,3
x00101723,x00101733,10
x00101723,x00101733,10
x00102540,x00102540-04-AIA,5
x00100261,x00100276,15
x00100261,x00100276,15
x00102320,x00102328,8
x00102320,x00102328,8
x00100339,x00100350,11
x00100339,x00100350,11
x00101461,x00101465,4
x00101461,x00101465,4
x00100625,x00100629,4
x00100625,x00100629,4
x00100001,x00100009,8
x00100001,x00100009,8
x00101551,x00101565,14
x00101551,x00101565,14
x00100391,x00100400,9
x00100391,x00100400,9
x00101597,x00101603,6
x00101597,x00101603,6
x00101281,x00101288,7
x00101281,x00101288,7
x00100339,x00100345,6
x00100339,x00100345,6
x00101371,x00101165,2
x00101371,x00101165,2
x00101155,x00101165,10
x00101155,x00101165,10
x00100313,x00100315,2
x00100313,x00100315,2
x00100391,x00100409,18
x00100391,x00100409,18
x00102082,x00102096,14
x00102082,x00102096,14
x00100157,x00100180,23
x00100157,x00100180,23
x00101335,x00101336,1
x00101335,x00101336,1
x00102665,x00102666,1
x00102665,x00102666,1
x00101583,x00101591,8
x00101583,x00101591,8
x00100670,x00100680,10
x00100670,x00100680,10
x00100287,x00100302,15
x00100287,x00100302,15
x00102065,x00102076,11
x00102065,x00102076,11
x00100443,x00100467,24
x00100443,x00100467,24
x00102361,x00102367,6
x00102361,x00102367,6
x00100882,x00100896,14
x00100882,x00100896,14
x00100131,x00100144,13
x00100131,x00100144,13
x00102150,x00102151,1
x00102150,x00102151,1
x00102469,x00102470,1
x00102469,x00102470,1
x00100865,x00100880,15
x00100865,x00100880,15
x00101611,x00101623,12
x00101611,x00101623,12
x00102371,x00102380,9
x00102371,x00102380,9
x00100547,x00100568,21
x00100547,x00100568,21
x00100261,x00100285,24
x00100261,x00100285,24
x00102303,x00102319,16
x00102303,x00102319,16
x00100700,x00100702,2
x00100700,x00100702,2
x00102675,x00102682,7
x00102675,x00102682,7
x00101389,x00101182,1
x00101389,x00101182,1
x00101173,x00101182,9
x00101173,x00101182,9
x00100235,x00100241,6
x00100235,x00100241,6
x00100261,x00100267,6
x00100261,x00100267,6
x00101653,x00101663,10
x00101653,x00101663,10
x00100053,x00100057,4
x00100053,x00100057,4
x00100313,x00100322,9
x00100313,x00100322,9
x00101281,x00101297,16
x00101281,x00101297,16
x00101737,x00101745,8
x00101737,x00101745,8
x00100443,x00100459,16
x00100443,x00100459,16
x00101533,x00101548,15
x00101533,x00101548,15
x00101833,x00101845,12
x00101833,x00101845,12
x00102718,x00102720,2
x00102718,x00102720,2
x00101371,x00101168,5
x00101371,x00101168,5
x00101155,x00101168,13
x00101155,x00101168,13
x00101723,x00101731,8
x00101723,x00101731,8
x00102557,x00102562,5
x00102557,x00102562,5
x00101245,x00101255,10
x00101245,x00101255,10
x00101425,x00101426,1
x00101425,x00101426,1
x00100547,x00100549,2
x00100547,x00100549,2
x00101709,x00101718,9
x00101709,x00101718,9
x00102065,x00102070,5
x00102065,x00102070,5
x00102150,x00102070,13
x00102150,x00102070,13
x00102184,x00102070,13
x00102184,x00102070,13
x00100547,x00100565,18
x00100547,x00100565,18
x00101227,x00101230,3
x00101227,x00101230,3
x00100745,x00100756,11
x00100745,x00100756,11
x00100001,x00100018,17
x00100001,x00100018,17
x00101120,x00101128,8
x00101120,x00101128,8
x00101443,x00101320,11
x00101443,x00101320,11
x00101317,x00101320,3
x00101317,x00101320,3
x00102511,x00102521,10
x00102511,x00102521,10
x00101611,x00101616,5
x00101611,x00101616,5
x00101625,x00101628,3
x00101625,x00101628,3
x00100865,x00100876,11
x00100865,x00100876,11
x00100916,x00100929,13
x00100916,x00100929,13
x00100599,x00100606,7
x00100599,x00100606,7
x00101035,x00101049,14
x00101035,x00101049,14
x00102150,x00102155,5
x00102150,x00102155,5
x00100131,x00100145,14
x00100131,x00100145,14
x00102696,x00102703,7
x00102696,x00102703,7
x00101849,x00101851,2
x00101849,x00101851,2
x00101929,x00101851,10
x00101929,x00101851,10
x00101963,x00101851,10
x00101963,x00101851,10
x00101389,x00101406,16
x00100469,x00100486,17
x00100469,x00100486,17
x00100495,x00100500,5
x00100495,x00100500,5
x00102696,x00102698,2
x00102696,x00102698,2
x00102116,x00102124,8
x00102116,x00102124,8
x00102685,x00102686,1
x00102685,x00102686,1
x00100209,x00100220,11
x00100209,x00100220,11
x00101001,x00100826,14
x00101001,x00100826,14
x00100820,x00100826,6
x00100820,x00100826,6
x00102587,x00102589,2
x00102587,x00102589,2
x00102609,x00102619,10
x00102609,x00102619,10
x00100001,x00100010,9
x00100001,x00100010,9
x00101997,x00102004,7
x00101997,x00102004,7
x00100443,x00100449,6
x00100443,x00100449,6
x00100882,x00100893,11
x00100882,x00100893,11
x00100391,x00100405,14
x00100391,x00100405,14
x00102082,x00102085,3
x00102082,x00102085,3
x00102201,x00102085,11
x00102201,x00102085,11
x00101103,x00101119,15
x00100715,x00100719,4
x00100715,x00100719,4
x00100933,x00100694,3
x00100933,x00100694,3
x00100685,x00100694,9
x00100685,x00100694,9
x00100882,x00100890,8
x00100882,x00100890,8
x00101103,x00101114,11
x00101103,x00101114,11
x00101227,x00101229,2
x00101227,x00101229,2
x00100599,x00100613,14
x00100599,x00100613,14
x00100079,x00100090,11
x00100079,x00100090,11
x00101865,x00101867,2
x00101865,x00101867,2
x00101946,x00101867,10
x00101946,x00101867,10
x00101980,x00101867,10
x00101980,x00101867,10
x00101035,x00101048,13
x00101035,x00101048,13
x00102729,x00102730,1
x00102729,x00102730,1
x00101980,x00101988,8
x00101980,x00101988,8
x00100339,x00100360,21
x00100339,x00100360,21
x00101515,x00101530,15
x00101515,x00101530,15
x00100157,x00100171,14
x00100157,x00100171,14
x00102620,x00102630,10
x00102620,x00102630,10
x00101980,x00101983,3
x00101980,x00101983,3
x00101865,x00101869,4
x00101865,x00101869,4
x00101946,x00101869,12
x00101946,x00101869,12
x00101980,x00101869,12
x00101980,x00101869,12
x00101881,x00101886,5
x00101881,x00101886,5
x00101997,x00101886,13
x00101997,x00101886,13
x00101407,x00101417,10
x00101407,x00101417,10
x00100391,x00100406,15
x00100391,x00100406,15
x00100053,x00100077,24
x00100053,x00100077,24
x00100131,x00100152,21
x00100131,x00100152,21
x00101120,x00101121,1
x00101120,x00101121,1
x00100850,x00100859,9
x00100850,x00100859,9
x00100027,x00100049,22
x00100027,x00100049,22
x00102048,x00102053,5
x00102048,x00102053,5
x00102133,x00102053,13
x00102133,x00102053,13
x00102167,x00102053,13
x00102167,x00102053,13
x00102031,x00102037,6
x00102031,x00102037,6
x00100339,x00100348,9
x00100339,x00100348,9
x00102402,x00102408,6
x00102402,x00102408,6
x00102320,x00102322,2
x00102320,x00102322,2
x00101653,x00101654,1
x00101653,x00101654,1
x00100745,x00100748,3
x00100745,x00100748,3
x00101479,x00101483,4
x00101479,x00101483,4
x00100105,x00100108,3
x00100105,x00100108,3
x00102696,x00102702,6
x00102696,x00102702,6
x00101086,x00101089,3
x00101086,x00101089,3
x00101209,x00101089,11
x00101209,x00101089,11
x00102337,x00102338,1
x00102337,x00102338,1
x00100235,x00100243,8
x00100235,x00100243,8
x00102638,x00102638-05-AIA,6
x00100790,x00100794,4
x00100790,x00100794,4
x00102413,x00102420,7
x00102413,x00102420,7
x00101263,x00101268,5
x00101263,x00101268,5
x00102696,x00102700,4
x00102696,x00102700,4
x00102402,x00102403,1
x00102402,x00102403,1
x00102598,x00102599,1
x00102598,x00102599,1
x00100469,x00100493,24
x00100469,x00100493,24
x00101479,x00101490,11
x00101479,x00101490,11
x00101120,x00101125,5
x00101120,x00101125,5
x00101035,x00101042,7
x00101035,x00101042,7
x00101245,x00101254,9
x00101245,x00101254,9
x00102540,x00102541,1
x00102540,x00102541,1
x00101227,x00101110,15
x00101227,x00101110,15
x00101103,x00101110,7
x00101103,x00101110,7
x00101583,x00101595,12
x00101583,x00101595,12
x00101263,x00101267,4
x00101263,x00101267,4
x00101281,x00101293,12
x00101281,x00101293,12
x00101551,x00101560,9
x00101551,x00101560,9
x00100443,x00100461,18
x00100443,x00100461,18
x00100287,x00100301,14
x00100287,x00100301,14
x00102252,x00102256,4
x00102252,x00102256,4
x00100495,x00100511,16
x00100495,x00100511,16
x00102577,x00102586,9
x00102577,x00102586,9
x00102435,x00102440,5
x00102435,x00102440,5
x00100495,x00100499,4
x00100495,x00100499,4
x00100775,x00100789,13
x00100365,x00100388,23
x00100365,x00100388,23
x00101980,x00101981,1
x00101980,x00101981,1
x00100417,x00100434,17
x00100417,x00100434,17
x00101103,x00101105,2
x00101103,x00101105,2
x00101227,x00101105,10
x00101227,x00101105,10
x00102567,x00102573,6
x00102567,x00102573,6
x00101443,x00101451,8
x00101443,x00101451,8
x00102489,x00102492,3
x00102489,x00102492,3
x00101086,x00101101,15
x00101086,x00101101,15
x00101723,x00101727,4
x00101723,x00101727,4
x00101801,x00101807,6
x00101801,x00101807,6
x00100805,x00100811,6
x00100805,x00100811,6
x00100670,x00100674,4
x00100670,x00100674,4
x00100313,x00100335,22
x00100313,x00100335,22
x00101913,x00101923,10
x00101913,x00101923,10
x00101723,x00101734,11
x00101723,x00101734,11
x00101035,x00101047,12
x00101035,x00101047,12
x00102303,x00102305,2
x00102303,x00102305,2
x00101052,x00101062,10
x00101052,x00101062,10
x00101479,x00101488,9
x00101479,x00101488,9
x00102337,x00102342,5
x00102337,x00102342,5
x00101086,x00101092,6
x00101086,x00101092,6
x00101209,x00101092,14
x00101209,x00101092,14
x00100521,x00100522,1
x00100521,x00100522,1
x00100805,x00100814,9
x00100805,x00100814,9
x00102344,x00102344-02-AIA,3
x00101086,x00101102,15
x00100235,x00100255,20
x00100235,x00100255,20
x00100899,x00100634,3
x00100899,x00100634,3
x00100625,x00100634,9
x00100625,x00100634,9
x00100865,x00100634,3
x00100865,x00100634,3
x00102269,x00102279,10
x00102269,x00102279,10
x00101353,x00101150,5
x00101353,x00101150,5
x00101137,x00101150,13
x00101137,x00101150,13
x00101245,x00101258,13
x00101245,x00101258,13
x00101849,x00101862,13
x00101849,x00101862,13
x00101849,x00101861,12
x00101849,x00101861,12
x00102435,x00102435-00-AIA,1
x00101137,x00100943,3
x00101137,x00100943,3
x00100933,x00100943,10
x00100933,x00100943,10
x00101052,x00101059,7
x00101052,x00101059,7
x00101052,x00101064,12
x00101052,x00101064,12
x00102522,x00102524,2
x00102522,x00102524,2
x00100469,x00100484,15
x00100469,x00100484,15
x00100183,x00100186,3
x00100183,x00100186,3
x00100685,x00100690,5
x00100685,x00100690,5
x00100313,x00100338,25
x00100313,x00100338,25
x00100495,x00100509,14
x00100495,x00100509,14
x00101425,x00101307,16
x00101425,x00101307,16
x00101299,x00101307,8
x00101299,x00101307,8
x00100027,x00100040,13
x00100027,x00100040,13
x00100573,x00100589,16
x00100573,x00100589,16
x00102469,x00102474,5
x00102469,x00102474,5
x00100655,x00100669,13
x00102082,x00102089,7
x00102082,x00102089,7
x00102201,x00102089,15
x00102201,x00102089,15
x00101946,x00101951,5
x00101946,x00101951,5
x00100521,x00100542,21
x00100521,x00100542,21
x00102286,x00102287,1
x00102286,x00102287,1
x00100417,x00100441,24
x00100417,x00100441,24
x00101533,x00101534,1
x00101533,x00101534,1
x00102150,x00102154,4
x00102150,x00102154,4
x00101653,x00101662,9
x00101653,x00101662,9
x00101865,x00101868,3
x00101865,x00101868,3
x00101946,x00101868,11
x00101946,x00101868,11
x00101980,x00101868,11
x00101980,x00101868,11
x00100469,x00100483,14
x00100469,x00100483,14
x00100495,x00100510,15
x00100495,x00100510,15
x00100775,x00100779,4
x00100775,x00100779,4
x00101103,x00101111,8
x00101103,x00101111,8
x00101227,x00101111,16
x00101227,x00101111,16
x00102269,x00102277,8
x00102269,x00102277,8
x00102320,x00102321,1
x00102320,x00102321,1
x00102252,x00102264,12
x00102252,x00102264,12
x00100850,x00100860,10
x00100850,x00100860,10
x00100209,x00100211,2
x00100209,x00100211,2
x00100933,x00100946,13
x00100933,x00100946,13
x00101137,x00100946,6
x00101137,x00100946,6
x00102184,x00102191,7
x00102184,x00102191,7
x00101681,x00101689,8
x00101681,x00101689,8
x00102014,x00102019,5
x00102014,x00102019,5
x00101583,x00101584,1
x00101583,x00101584,1
x00100933,x00100941,8
x00100933,x00100941,8
x00101137,x00100941,1
x00101137,x00100941,1
x00100131,x00100135,4
x00100131,x00100135,4
x00102522,x00102529,7
x00102522,x00102529,7
x00100339,x00100340,1
x00100339,x00100340,1
x00100495,x00100497,2
x00100495,x00100497,2
x00100157,x00100179,22
x00100157,x00100179,22
x00102737,x00102738,1
x00102737,x00102738,1
x00101281,x00101287,6
x00101281,x00101287,6
x00101461,x00101468,7
x00101461,x00101468,7
x00100209,x00100223,14
