  9   9    21221    R100000235R1N2009080824 473284E                                                                                                                                  Wishram Combined College
  9   9    21216    R100000100E1N2009050214 153172P          612315 236                                                                                                      Ophthalmoplegia Combined College
  9   9    21219    R100000188A1N2009100422 462274P          533566 411                                                                                                            Trotcozy Secondary College
  9   9    21221    R100000230A1N2009051112 264164P          143641 141                                                                                                              Wishram Combined College
  9   9    21218    R100000153H1N2009061721 452482S                                                                                                                            Redistrainer Secondary College
  9   9    21217    R100000131A1N2009100111 364172P          616126 512                                                                                                          Phyllostoma Combined College
  9   9    21218    R100000167H1N2009060422 272264P          425155 461                                                                                                        Redistrainer Secondary College
  9   9    21218    R100000173P1N2009011923 273384P          556534 514                                                                                                        Redistrainer Secondary College
  9   9    21215    R100000085M1N2009011914 372382P          635112 346                                                                                                          Isovalerate Combined College
  9   9    21218    R100000161K1N2009031611 383381P          416644 636                                                                                                        Redistrainer Secondary College
  9   9    21220    R100000213G1N2009062624 474484P          266314 224                                                                                                       Unturpentined Secondary College
  9   9    21220    R100000204E1N2009090314 181273P          216516 435                                                                                                       Unturpentined Secondary College
  9   9    21215    R100000095K1N2009110212 271263P          351652 542                                                                                                          Isovalerate Combined College
  9   9    21218    R100000151M1N2009091623 372152P          114434 554                                                                                                        Redistrainer Secondary College
  9   9    21218    R100000174A1N2009051812 263472P          251463 245                                                                                                        Redistrainer Secondary College
  9   9    21219    R100000183S1N2009111014 353452P          515352 642                                                                                                            Trotcozy Secondary College
  9   9    21221    R100000229P1N2009102524 373172P          516613 525                                                                                                              Wishram Combined College
  9   9    21218    R100000162E1N2009121922 263271P          626412 652                                                                                                        Redistrainer Secondary College
  9   9    21215    R100000077E1N2009080321 254264P          651253 366                                                                                                          Isovalerate Combined College
  9   9    21219    R100000194M1N2009010714 172263P          564652 146                                                                                                            Trotcozy Secondary College
  9   9    21220    R100000205P1N2009121022 181261P          536652 321                                                                                                       Unturpentined Secondary College
  9   9    21218    R100000172H1N2009121414 284171P          144135 163                                                                                                        Redistrainer Secondary College
  9   9    21215    R100000092H1N2009051212 364163P          342266 154                                                                                                          Isovalerate Combined College
  9   9    21220    R100000215S1N2009040711 161184P          534654 423                                                                                                       Unturpentined Secondary College
  9   9    21217    R100000127M1N2009030714 452374P          551256 435                                                                                                          Phyllostoma Combined College
  9   9    21215    R100000099R1N2009111811 472352P          436455 422                                                                                                          Isovalerate Combined College
  9   9    21215    R100000083D1N2009071123 362483P          653435 326                                                                                                          Isovalerate Combined College
  9   9    21219    R100000190G1N2009010822 164351P          146613 343                                                                                                            Trotcozy Secondary College
  9   9    21220    R100000209H1N2009051511 372283P          542264 153                                                                                                       Unturpentined Secondary College
