REF_ID,TEST_ID,ITEM_ID,RUBRIC,DESCRIPTOR,MAX_SCORE
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Vocabulary,The range and precision of language choices.,5
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
4efda5c8-c168-4b9a-97d7-d0d8588542a3,x001068020_Writing,1ecb79da-85e3-4551-8772-49e8a49dcf39,Spelling,The accuracy of spelling and the difficulty of the words used.,6
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Audience,"The writer’s capacity to orient, engage and affect the reader",6
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Vocabulary,The range and precision of language choices.,5
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Spelling,The accuracy of spelling and the difficulty of the words used.,6
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Audience,"The writer’s capacity to orient, engage and affect the reader",6
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Vocabulary,The range and precision of language choices.,5
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
5c39a5af-d944-4150-ac25-4629ee3d362b,x00106808_Writing,2c6c4f3d-298e-49ac-a2dd-8ff9ebfcd85d,Spelling,The accuracy of spelling and the difficulty of the words used.,6
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Audience,"The writer’s capacity to orient, engage and affect the reader",6
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Vocabulary,The range and precision of language choices.,5
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Spelling,The accuracy of spelling and the difficulty of the words used.,6
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Audience,"The writer’s capacity to orient, engage and affect the reader",6
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Vocabulary,The range and precision of language choices.,5
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
544131bb-26b2-488b-9baa-027acb63774f,x001068015_Writing_alt,3c2dd4a8-c205-4632-8a4c-26ac2e9bb33e,Spelling,The accuracy of spelling and the difficulty of the words used.,6
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Audience,"The writer’s capacity to orient, engage and affect the reader",6
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Vocabulary,The range and precision of language choices.,5
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Spelling,The accuracy of spelling and the difficulty of the words used.,6
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Audience,"The writer’s capacity to orient, engage and affect the reader",6
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Vocabulary,The range and precision of language choices.,5
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
2bedd0ac-382b-48a9-8034-2aff74a3818c,x001068021_Writing_alt,43fd25fd-2aa8-4590-ae99-af23695fa3d6,Spelling,The accuracy of spelling and the difficulty of the words used.,6
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Audience,"The writer’s capacity to orient, engage and affect the reader",6
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Vocabulary,The range and precision of language choices.,5
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Spelling,The accuracy of spelling and the difficulty of the words used.,6
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Audience,"The writer’s capacity to orient, engage and affect the reader",6
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Vocabulary,The range and precision of language choices.,5
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
afbed99f-b8db-4ac2-b716-ed71e49961d4,x001068014_Writing,67f9a72a-66bc-4e93-97c0-39f01808a24e,Spelling,The accuracy of spelling and the difficulty of the words used.,6
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Audience,"The writer’s capacity to orient, engage and affect the reader",6
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Vocabulary,The range and precision of language choices.,5
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Spelling,The accuracy of spelling and the difficulty of the words used.,6
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Audience,"The writer’s capacity to orient, engage and affect the reader",6
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Text Structure,"The organisation of text features including introduction, body and conclusion into an appropriate and effective text structure.",4
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Ideas,"The creation, selection and crafting of ideas for a Persuasive text.",5
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Persuasive Devices,The use of a range of persuasive devices to enhance a writer's position and persuade the reader.,4
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Vocabulary,The range and precision of language choices.,5
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Cohesion,"The control of multiple threads and relationships over the whole text, achieved through the use of referring words, substitutions, word associations and text connectives.",4
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Paragraping,The segmenting of text into paragraphs that assists the reader to negotiate the text.,3
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Sentence structure,"The production of grammatically correct, structurally sound and meaningful sentences.",6
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Punctuation,The use of correct and appropriate punctuation to aid reading of the text.,5
57eaa9af-3f42-4bb9-b2c0-dd01ad65534d,x00106809_Writing_alt,b112917f-aed6-4765-8698-9961c1a8bafd,Spelling,The accuracy of spelling and the difficulty of the words used.,6
